EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7790895010484,20,9,0,1
7790828002036,27.9,9,60,1
7791058000632,0,0,0,1
7798085370752,0,0,0,1
7798105510502,19.5,52,0,1
7791293029894,71,15,12,1
7790387120370,40,22,726,1
7791130081351,18.5,24,1020,1
7792640001815,129,24,204,1
7798108348881,27.4,6,9968,1
7790045001584,16,6,752,1
7791293030883,50.49,18,1920,1
7794990879755,36,0,0,1
51000134509,0,0,8,1
7798045215024,106,0,0,0
7792640000276,114,24,372,1
7891962040622,37.5,27,96,1
7793008013921,74,7,132,1
7791875008132,250,0,0,1
7791241001644,20,0,0,1
7798116200010,179,9,12,1
7790080065121,18.15,20,0,1
7798141710225,26,10,468,1
7622300800260,31.2,69,6264,1
7793620003416,20.3,34,1120,1
7790971001184,0,0,0,1
7793253001339,42.1,19,1024,1
7798112850103,0,0,0,1
7791675030500,36,3,12,1
7790119002370,98,16,678,1
7791130001601,91,15,36,1
7790828002579,35.9,13,108,1
7791293030654,39.93,12,1548,1
7798141718269,153,0,0,1
7791540047077,153,5,18,1
7792378001682,26.33,0,2120,1
7793008006480,94,23,24,1
7794000598164,19.6,57,4420,1
7790520010551,65,-1,1152,1
7798108347952,0,0,9264,1
7790080023015,127,4,0,1
7792280002869,75,23,50,1
7798068480805,450,4,0,1
7791848055118,74,24,48,1
7798127480197,89,25,0,1
7793360111662,21.87,36,1230,1
7790150545256,24,20,480,1
7509552900156,103,13,48,1
7798128410032,0,0,0,1
7790990990438,39,8,208,1
7794080000502,0,0,0,1
3607342683235,187,0,0,0
3600530730308,0,0,0,0
77975086162,124,11,0,1
7790520010292,38.99,14,3552,1
13000006408,108,5,0,1
7798082000102,62,9,171,1
7798152225213,17,499,27720,1
3046920028363,0,0,380,1
7899706126878,162,16,36,1
7790240096941,347,18,0,1
3245990250203,0,0,0,1
8000139910333,76,15,192,1
7798062547788,22,42,6480,1
7798067566913,17,0,30,1
7790580314507,56,16,1776,1
8076810500513,0,0,24,1
7790240025415,92.6,9,222,1
7793253098735,61,18,336,1
7791337331006,0,1,0,0
8076810500483,0,0,0,1
4005808288953,51.17,19,12,1
7790060054961,0,0,0,1
7798111007829,26.4,26,16380,1
7790244000036,91,0,0,1
7791130681193,35,12,396,1
7793482000264,91,0,0,1
7790773008442,54,18,126,1
7702018348060,202,18,24,1
7798085680424,56.39,18,174,1
309972271433,0,0,0,0
7798224210161,79,28,24,1
7796373182001,18.98,36,0,1
7798159715762,22,762,261120,1
7793253001391,65,24,1734,1
7798141714384,22.5,9,48,1
7509552800722,111,6,96,1
7790895641220,25.6,19,0,1
7790170907393,42,1,18,1
7790360026590,212.18,31,2656,1
7790036948157,74.25,0,0,1
7622300335076,25.5,329,6960,1
7791229152856,0,0,0,1
71603055421,66,12,78,1
7798048730579,0,0,0,1
7506339337549,213,24,576,1
7792070001669,82,8,0,1
7798039590182,198,5,0,1
7798090851789,0,0,0,1
7798157740070,34,29,144,1
7509552907698,0,0,0,0
7790520009920,52,6,1440,1
7790580107475,0,0,222,1
7501056324889,69,33,48,1
7891024139325,53,20,1008,1
7791290785366,44,15,3960,1
7790503000326,24,13,2710,1
7891010618339,42,20,120,1
