EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7791203000531,180,27,72,1
7798048982015,134,12,0,1
7798141711123,105,5,192,1
7798108348737,21,33,15330,1
7791130681230,62,5,270,1
7790828001435,17.7,34,0,1
7791019000107,65,26,720,1
5413121351602,0,0,0,1
7790036007489,8,28,18,1
7790150830857,22.8,15,4656,1
7798108347303,68,14,60,1
7790189042412,169,8,78,1
7792410128810,59.9,20,240,1
7790895004629,0,0,0,1
41554429916,0,0,0,0
7791293026145,43.7,294,672,1
7790580454210,180,13,312,1
7790411000142,8.87,20,980,1
7790895000256,15,17,0,1
7798159711221,24,37,53680,1
7793440703138,90,31,672,1
7790580011406,20.8,238,360,1
7790520019332,115,10,1008,1
7791130140850,63,9,228,1
7798026790205,82.8,8,0,1
7791293029634,84.85,34,12,1
8412598001024,55,0,0,1
7794626008016,434,12,88,1
7622300872038,16.5,76,216,1
7798060850118,79,2,0,1
726669007395,85.6,14,36,1
7798048730555,0,0,0,1
7506306241183,52,498,7356,1
7798070013022,699.3,19,0,1
7794820015247,48.65,78,0,1
7792180008664,47,57,1200,1
7802000009280,47,143,644,1
7798033339411,46.8,55,165,1
7792389001237,0,0,0,1
7793008012658,64,12,144,1
7891150014831,88,25,0,1
7798152226128,19.78,42,8544,1
7794626003936,157.22,17,460,1
7790520011268,78,11,684,1
7790040767409,39,4,0,1
7793940095405,18.9,132,0,1
7702031668459,69,17,60,1
7791519700699,114.9,19,120,1
7790036048260,22.49,0,24,1
7790520012708,48.9,-2,12,1
7702018382354,359,16,430,1
7791199001468,22,18,540,1
7790990587430,27.9,36,1800,1
7790828104174,0,0,0,1
7791664001016,73,9,840,1
7798130460476,871.2,2,0,1
77915559,0,0,40,1
7793126000643,100,0,0,1
7891024033111,14,73,6264,1
7795933001110,32,47,24,1
7790036000336,21.49,7,3384,1
7791520009675,26.6,51,1944,1
7791560126646,255.25,10,648,1
7790250098058,24,45,1080,1
77915481,15.4,46,864,1
7790070032089,69,115,3132,1
7790070507099,33.3,81,6400,1
7796989006890,46,75,0,1
7790742017079,27.4,31,0,1
