EAN,Sales Price,Qty at Store,Qty at DC,in assortment
3607342551800,165,0,0,0
7791290013551,79,88,4364,1
7791290012394,22.9,3,23355,1
7798039591660,198,8,0,1
7790240095272,94,20,30,1
7509546012100,44.29,13,6228,1
7798128000257,141,0,0,1
7790580327415,15.5,220,54684,1
7796373002439,0,0,0,1
7798147060140,0,0,0,1
7794640171260,58,24,144,1
7790790000344,3.3,168,50328,1
7792222003442,65,25,192,1
7790990992692,109.99,16,162,1
7798086021288,67,30,108,1
7791293033181,31,25,2316,1
7793253000417,30.3,47,10608,1
7794626007750,416,50,1048,1
7792900092904,35.4,29,336,1
7791720003381,31.5,28,16,1
7790704169969,55,12,366,1
41554238730,0,0,0,0
7790335000648,0,0,0,1
7792640006155,112,8,36,1
7798116166019,0,0,0,1
7793253001384,27.5,66,8864,1
7793913000078,67,13,0,1
7791708001569,47,15,72,1
7797942000337,79,18,90,1
7798124360768,15.9,80,5456,1
7791293020433,87,7,18,1
7899706118767,96,24,756,1
7790150540350,29.81,27,6825,1
7790975017082,0,0,0,1
7794000598430,15.3,11,3460,1
7795323002437,351.64,19,0,1
7899706115056,110.79,18,12,1
7798156556030,0,0,0,0
7790130000683,117,14,12,1
3607342733725,155,8,0,1
4042891513500,0,0,0,1
7790150420300,9.2,28,1550,1
8001250120076,77,17,0,1
7899026432970,0,0,0,0
7790040102170,19,0,0,1
7500435012188,47.3,7,3096,1
8001200045039,0,0,2592,1
7798108348607,13.5,20,6048,1
7791787000323,24,19,2090,1
7790150696842,25,12,330,1
7791905004202,42.9,18,84,1
7791620000312,21.59,30,0,1
7798184720052,0,0,160,1
7790314005961,63,0,24,1
7790580511302,30.44,12,72,1
7501056330385,81,10,72,1
4014400916591,86,15,72,1
7798112440380,122,0,0,1
7790070411853,0,0,0,1
7798159718435,131,12,1932,1
7793253170639,46,14,384,1
7790045001591,29.99,25,9255,1
7791093000031,41.6,21,0,1
8001876071035,0,0,0,1
7798175712301,55,17,0,1
7791130460514,33,22,0,1
7798131060064,126,0,24,1
7790139000103,98,32,8,1
7796854000152,0,0,0,1
7891962040622,37.5,27,48,1
7793253002701,69,0,1720,1
7622300834876,56,29,2136,1
7790150540152,16.7,20,5440,1
7798180960445,73,12,0,1
7790577041553,259,6,150,1
7792170001224,26,25,18,1
7794626002007,43.7,12,408,1
7506339384109,153,12,396,1
7798159240578,0,0,0,1
7798224210062,37.4,28,48,1
7792380000130,0,0,0,1
4005900092618,58,10,84,1
7798108348706,14.97,29,12920,1
7790335000761,0,0,0,1
7791130002264,120,5,180,1
7792319008213,156,21,6,1
7791293033327,52,6,1800,1
7792640000498,124,26,48,1
7793940328008,17.55,315,0,1
4005900007339,43.9,7,456,1
7790010681667,64,9,228,1
7622300871970,15.1,51,4968,1
7798005730017,0,0,0,1
7793913000931,27.3,17,0,1
8011780009475,95,0,0,0
7794000596672,32.8,80,624,1
7790036020204,19.5,0,1662,1
5012874026401,0,0,0,0
7790077000067,0,0,0,1
77919540,14.5,0,0,1
7790670050476,41,199,2380,1
7790217000018,66,12,1830,1
7798159718985,38.7,220,30280,1
7798180960308,71,16,0,1
7500435019552,71.9,24,462,1
7798033336410,15.3,853,44854,1
7798159716790,51,24,48,1
7790717152057,135,5,0,1
7790070320285,8.4,190,13960,1
3244851003224,67.44,22,168,1
7790990599464,17.5,11,160,1
7791290013612,62,12,120,1
7790520015242,23,27,504,1
7798159717636,33.2,37,3156,1
7790895008481,0,0,0,1
7795697104799,22,0,0,0
7793008001935,59,10,110,1
7798175711823,63,9,108,1
8413552001593,41.7,12,36,1
80042532,55,0,48,1
400000003108,23.4,37,4464,1
7790036000312,15.5,0,0,1
7790773007162,25,33,120,1
7891024023969,90,5,24,1
7791293029986,76,10,12,1
7790084029075,34,0,0,1
7791130820523,22.9,72,1080,1
7891024185551,50,25,144,1
7791520003994,22,37,216,1
7798183044234,62,84,0,1
7792378001750,63,2,126,1
7790580697303,20.5,25,2184,1
7791293025261,31,18,1044,1
7791720002261,11,58,100,1
7798159712655,40,5,84,1
7792389001909,36,0,0,1
7790310006818,15,66,0,1
7798073134809,52,0,96,1
7798096055112,61,10,312,1
7790070413185,48,69,5130,1
5000329002537,396.9,15,156,1
7792410000628,42.65,0,36,1
7790520010360,50,20,1716,1
7791290010079,204.05,15,3920,1
7790945004890,109,9,6,1
