EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7790010960021,60,21,372,1
7791014002496,70,48,0,1
7796746000222,25,53,360,1
7500435012287,78.19,125,3792,1
7798182320278,99,26,648,1
7791843009178,107,13,6,1
7791560040126,215.7,130,966,1
7794529041165,38.9,15,90,1
7791293033259,52,75,28272,1
7790080037340,17.5,9,0,1
7613035190528,26,25,1080,1
7790577039369,333,4,0,1
7798159719173,12,63,15864,1
41554415438,0,0,0,0
7891024123027,39,128,14832,1
7798096055112,70,12,312,1
7790895641794,9,6,0,1
7790773008251,47,17,240,1
7793008013921,80,8,156,1
7798180960254,59,8,0,1
7793755001745,0,0,0,1
7791234001507,20,11,90,1
7791672000711,47.5,23,495,1
7790950134896,57,65,348,1
7790070032690,146.5,97,0,1
7790236001997,49.49,30,2484,1
7613035867604,130,7,0,1
7501035010109,460,0,0,1
7792756010015,263,10,6,1
7798108349390,14.9,24,2736,1
7798159714819,16,56,10980,1
7790580103552,41.69,49,960,1
7792180004758,36.08,105,4720,1
7790250044321,105,130,219,1
7794000597396,44,105,0,1
7798128000691,37.5,44,3381,1
7622300335076,24,132,5328,1
7791293034034,124,10,96,1
7790360026002,15.82,64,8352,1
7791130683838,36.9,137,3036,1
77914217,14.2,265,56400,1
76397030234,0,0,0,1
75051723,34,35,660,1
7792180001665,38.44,1134,70032,1
7798180960308,71,12,0,1
7501035911208,48.8,0,0,1
7798091830066,27,31,96,1
5011885011772,123,0,0,1
7790520007421,52,20,156,1
7791337011311,55.27,265,0,1
7791293033952,74,131,276,1
7792184001029,100,0,0,1
77990112,0,0,2076,1
7791826000666,0,0,0,1
7798159716189,0,0,2610,1
7622400005190,53,308,693,1
7796373002965,49,8,132,1
7899026485129,76,9,6,1
3607343509213,46.8,10,72,1
7790895641732,7,0,0,1
7790236000570,43.19,42,0,1
7613035874022,130,4,0,1
7792180007285,24,2,1884,1
7798159719005,37,20,24,1
7790740505554,47.5,18,828,1
7798045217226,102,0,0,0
7792410135535,137.45,10,60,1
7793008006350,64,0,0,1
7798108344043,26.3,42,2784,1
7791708611652,27,2,0,1
7791290010512,32.99,68,4572,1
7792798007745,129,3,0,1
7790272000534,108,12,36,1
7790580956608,13.45,24,72,1
7613035177611,169.99,0,1152,1
7501001133283,89,42,732,1
7794520443654,21.4,57,2784,1
7794000960084,40,9,108,1
7793360105944,23.99,73,10368,1
7790240128581,101,31,2898,1
2670533000006,95,0,0,1
7798048720464,0,0,11280,1
7791200000060,89,70,0,1
7790375245061,187,28,16,1
7798135760229,0,0,0,1
7790580106089,3.6,315,15552,1
7792222003220,127,16,24,1
75027513,68,171,1728,1
7791905002949,29.9,17,0,1
7794940000116,40.7,65,7704,1
78895128789,76,12,228,1
5010327000176,1430,0,120,1
7798148290096,46.7,14,48,1
7798048730364,0,0,0,1
7790189016901,247,20,0,1
7798030030182,0,0,0,1
7790375001308,292,9,27,1
7790070960719,42.5,64,2784,1
7790520021236,115,12,1596,1
7790726120054,11,19,5750,1
7798141711031,12,4223,214188,1
7791720002155,18,17,5852,1
7500435113625,326,59,264,1
7798191490108,40,0,25,1
7791130001229,42,11,108,1
