EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7791476005974,17.28,37,1824,1
7790150006009,86,0,1644,1
7790613001626,29.97,28,612,1
309976012155,0,0,0,0
7798175711823,63,9,132,1
7798045216120,102,0,0,0
7790520017932,89,15,228,1
7798159716257,0,0,80,1
7500435112697,58,4,32,1
7798052361554,0,0,0,1
4005800165733,45.9,14,190,1
7790773082831,43,1,180,1
7790398100118,17.2,0,0,1
7791130052740,22.9,31,360,1
7798159715892,24.94,13,210,1
7790520016515,29.2,9,1536,1
74170429046,0,0,0,0
7790240041446,242,19,36,1
7891010604943,48.1,54,280,1
7794626006517,155,15,88,1
7622300864149,6.25,170,180,0
7891150026025,22,70,816,1
8003240061383,121,12,12,1
7891136052000,147.99,86,2466,1
7798175718501,0,0,0,1
7790040740006,11,71,2400,1
309979632657,0,0,0,0
7791293032177,137,15,24,1
7792900009230,16.7,74,5910,1
5012874140923,0,0,0,0
7791293029412,76.56,263,15912,1
7798108955591,583,9,0,1
7794529041172,24,56,324,1
7798181510106,35,11,0,1
7791293031941,12.79,35,17784,1
7796435000212,59,11,0,1
7793360000294,23.91,362,3792,1
7500435011150,117,6,0,1
7791905003236,76.9,1,12,1
7798180960438,28,24,0,1
7891024316603,52,15,360,1
7798175710598,65,20,72,1
7790045001133,17.7,8,3432,1
7794520442121,20,24,1872,1
7790878108047,79,27,176,1
7798224210093,38,28,72,1
7791813423386,47.9,24,24,1
7791070003222,0,0,0,1
7790580151201,31.4,246,1980,1
7791250001857,130,6,0,1
7702626214832,71,9,240,1
7790900015152,71,27,240,1
7792640000085,121,11,24,1
7791130002080,32,16,12,1
7790150080610,111,31,2088,1
7500435020213,92,12,168,1
93302036,65,22,24,1
8076800195132,65,25,0,1
7791664000071,0,0,690,1
7792640000276,115,18,372,1
7790093128080,330.6,14,0,1
7791130001595,36.4,18,2028,1
7899026484726,154,22,24,1
7790613070899,90.72,10,294,1
7798079230161,22.3,0,1800,1
7794990878871,31.8,14,0,1
7790717151067,175,14,702,1
7506339363883,23.5,26,5184,1
7798159240066,78,18,0,1
7798176220010,30,0,0,1
7798159715755,25,70,19674,1
7790045824794,23,0,0,1
7793890044904,45,26,0,0
7790427005223,25,0,0,1
7798249290056,386,0,0,1
7798148290225,24,22,48,1
7790360964533,14.5,9,216,1
7622300990114,82,124,0,1
77975086162,124,2,0,1
7798152223653,132,19,1236,1
7793742007613,294.92,8,0,1
7899026484641,154,9,168,1
7798048720112,0,0,15630,1
7798159714031,37,24,192,1
7790580454210,180,13,368,1
7790828001282,0,0,200,1
7790315001146,20.1,12,1032,1
7793890000917,85,10,0,1
7509546059099,82,1,24,1
70501021231,258,6,0,1
7790260006043,98.1,21,12,1
7798091830073,27,39,384,1
7798073135547,43,12,204,1
7790580103613,90,0,0,1
7791130683814,36.9,45,3864,1
7791905001591,17.9,10,0,1
7790900026035,44.5,50,120,1
7891024023969,94,6,48,1
7798038152381,52,19,384,1
7790263110846,25,59,288,1
7791293027234,0,0,0,1
7791004000105,44,12,360,1
7791085000124,0,0,0,1
7861002901831,27,0,72,1
7790071090217,32,20,1656,1
7798044820151,92,0,0,1
7790163050754,0,0,36,1
77915559,0,0,200,1
7613035287488,138,19,0,1
8005110043109,206,6,30,1
7591083011098,41.9,18,2448,1
7791720002261,15,23,100,1
7798108343145,22,169,672,1
7798075740053,0,0,0,1
7792319008213,156,21,6,1
7790580981907,14.9,41,2088,1
7794080000366,0,0,0,1
7791720002537,34,17,0,1
7790240095272,94,11,12,1
7794770100208,0,0,12,1
7798141710102,43,1,0,1
7798141710195,35,9,24,1
7798137320025,183,12,12,1
7896058257205,11.5,0,0,1
7798152226654,27.92,285,4716,1
7791885004407,35,0,312,1
7509552361698,0,0,0,0
7791019174624,67,17,63,1
7798109281231,65,8,12,1
7790040178007,32,55,3940,1
7790033207899,0,0,0,0
7790040102859,55,0,0,1
41554436259,0,0,0,0
3083680026154,58,0,12,1
7798062542035,29.1,-1,12,1
8001200111192,0,0,240,1
7891962032290,27,22,168,1
7790703100321,93.99,467,10608,1
7791675901480,22,23,96,1
7798146300599,37,28,80,1
7790070318121,36.89,325,6460,1
7798108830232,88.2,12,612,1
7790895011269,37.5,8,0,1
7790040110069,29,14,500,1
7790895065217,25.79,553,3976,1
7798068480218,160,12,0,1
7790580405618,18,24,528,1
21000612185,120,0,0,1
7790380015949,22.8,205,2952,1
7622300800260,31.2,59,6264,1
7790045002130,37,4,208,1
7798091030138,66,4,204,1
7501059350571,30,0,720,1
7798141717620,18,185,5800,1
7798105510144,23,0,0,1
7798180960186,56,0,0,1
7798124400105,115.7,0,0,1
7791293028835,52,16,384,1
7791293034478,42,46,54,1
7790150565445,56,20,1570,1
7622300869892,54,81,4488,1
7798159716929,38.5,72,0,1
309976012070,0,0,0,0
7792183000047,91,36,144,1
7793440003016,208,-10,12,1
7790670000075,31.49,22,1560,1
7791293025780,45.99,119,4380,1
7790580109646,15.5,0,1024,1
7798176000964,14,4,0,1
7806500799016,148,11,96,1
7792860002937,90,12,96,1
7793412000029,0,0,0,1
7791720002407,43,28,32520,0
7798074862077,150,30,5172,1
7790431002331,35,0,0,1
7790950128444,32.15,42,6300,1
7796373001432,39.99,14,60,1
7791290012158,27.15,56,11712,1
8024417012595,89,10,48,1
7790520016379,100,11,468,1
7790580110062,7.4,0,-276,1
7791293033075,73,9,30,1
7790387013306,25.7,14,774,1
7790520009296,21,74,2652,1
7899706127080,162,7,102,1
7798131200811,83,12,240,1
7790150015834,42,13,710,1
7790463000046,70,18,1140,1
79200121198,0,0,0,1
7613034790170,132,12,0,1
42277842,65,19,72,1
8410134029105,47,20,888,1
7791290009783,134,77,312,1
7793253002145,29.33,17,3264,1
7509552903195,0,0,0,0
7793350000433,67,16,360,1
7790895063091,20,7,1980,1
7790236000693,52,12,0,1
7790080037746,7.9,0,0,1
3614220070605,247,0,0,0
7790580601300,184,9,48,1
7790310005583,35,9,0,1
7792410008259,80.35,15,0,1
7798072118275,0,0,0,1
7790580011185,0,0,0,1
7798039590625,359,7,0,1
5012874027446,0,0,0,0
7790250024132,69,-1,460,1
51000020253,0,0,12,1
7790163009042,0,0,12,1
7791866000572,18,0,1128,1
3614220616858,90,0,0,0
7790670051220,25,63,2592,1
7500435112710,58,15,144,1
7798141877362,85,12,0,1
7790310004326,36.4,83,40,1
7791290004603,20.44,0,24,1
7792590001156,18.5,1,430,1
7791520000054,88,20,0,1
7792900000114,71,11,66,1
7613035874008,130,7,162,1
7790375245061,187,16,24,1
7790036000633,0,0,0,1
7792640001426,73,26,180,1
7790520986160,52,27,732,1
7795145000154,0,0,0,1
7796373002460,24,28,540,1
7798154590555,21,44,0,1
7798159714956,9.1,85,7956,1
7790240023596,896,16,0,1
7790895003950,16,36,0,1
7506195141632,70,32,1320,1
7790900008550,121,12,60,1
7798096051213,22,1,120,1
7798152221772,18,23,450,1
7622300868666,5.2,124,20880,1
7790990012376,28,250,1904,1
7790975000220,112,14,384,1
7802960001119,75,28,0,1
8001876071035,0,0,0,1
7792143500112,57,19,12,1
7791520006131,50,12,0,1
7795646010102,45,11,96,1
7506309878997,30.77,115,9936,1
7793482000240,91,0,0,1
7795184983203,10.5,24,1344,1
7791293032009,34.8,107,9960,1
7891010046927,58,19,660,1
7791070000504,0,0,0,1
7790036002606,34,35,2224,1
7790070415349,19.5,101,0,1
7798138290136,43.5,40,1472,1
7790580108489,58,4,1632,1
7791120037566,14.5,11,0,1
7790742111029,34.9,16,0,1
7798153810517,80,15,0,1
7798091830066,27,32,240,1
7791241400409,19.5,0,0,1
7622201050757,34,30,483,1
3607349610210,0,0,0,0
7790168113317,72.1,13,2556,1
7798141710164,26,17,576,1
7790520006479,0,0,0,0
7798155730660,20.9,162,69300,1
3614220617015,90,0,0,0
7501056330385,81,8,108,1
7795711000038,39,12,528,1
7798171570356,88,14,684,1
7791905004219,42.9,14,3192,1
7790878114024,0,0,0,1
7501059273597,169.99,38,1383,1
7791130460514,33,43,96,1
7791293030579,40.6,23,4332,1
309978392903,0,0,0,0
7790480008261,34.9,6,20100,1
7791519700699,114.9,7,204,1
7791293030432,136.09,8,300,1
7798141711840,28,55,2925,1
7791290012424,101,3,352,1
7790499000447,0,0,24,1
74170382235,0,0,0,0
7793440001104,98,17,432,1
7790580105839,3.6,241,5832,1
7793440702735,280,19,24,1
7791199004063,29,39,0,1
7791058002384,0,0,0,1
7792180008022,11.74,25,1008,1
7790130000119,19,13,1452,1
7506195131664,49.7,40,2784,1
7501017004621,0,0,0,1
7793126000599,132,0,0,1
7798082000393,42,8,420,1
7798159717285,26.99,19,1768,1
7798161720266,51,0,0,1
7798054220156,13.5,49,2808,1
7790895010712,18,27,0,1
7792170000449,27,619,1224,1
7794000597730,19.7,57,13600,1
7798075820335,123,14,36,1
7790080067910,16.46,15,0,1
7792710000014,48.93,83,18870,1
7891528091716,34.1,49,6156,1
7790770002931,73,7,1080,1
7790989003149,40.8,27,36,1
7790613000230,36.4,16,444,1
7501001133634,48.4,9,1374,1
4002103249535,48,0,0,1
7791250001277,147,13,2802,1
3086123315150,116,19,24,1
7798135760441,0,0,0,1
7790240094503,170.63,34,0,1
7798031154245,28.9,24,4524,1
70942302357,50,0,72,1
7792360071518,25.19,46,1608,1
7793817000037,84,24,36,1
3059944021104,93,14,96,1
7793046008057,23,0,24,1
4005900189813,111,15,0,1
7790520012524,18.9,100,1212,1
7613034195241,46.7,-3,4480,1
7798159716479,15,27,6240,1
7794450005779,125,12,6,1
7506339392708,100,44,72,1
7798051304736,130,13,6,1
7791058001370,0,0,0,1
7794000792531,14,0,0,1
7790310920541,0,0,0,1
7798108348898,14.1,0,7488,1
7793100111808,71.5,90,10896,1
7791254665406,19.9,29,3336,1
7791620009827,27,35,0,1
7791019002705,47,8,414,1
7792640006148,115,28,24,1
7790040047020,36.9,27,2410,1
7793100111761,43.2,310,46032,1
7509546070285,41,0,0,0
7798117920122,110,18,36,1
7790189041231,54,7,56,1
8005110060007,54,24,72,1
7790150545256,24,31,480,1
8714800007191,42.7,0,0,1
7798108348911,11.46,43,7272,1
41554409147,0,0,0,0
7613034790194,132,15,810,1
7802000009266,55,140,2898,1
7798091030121,66,12,408,1
7791203000647,400,3,168,1
7791564012112,63.46,59,0,1
7794520025621,85,14,1560,1
7790040287105,12.5,46,1836,1
5410976981015,0,0,0,1
7791905002598,33.9,31,3372,1
7790380004882,33,36,288,1
7790895641183,16,163,4434,1
41554429688,0,0,0,0
7790828102507,0,0,195,1
7798141717200,19.98,22,10080,1
7791971000061,0,0,0,1
7790150013243,146,13,222,1
7791885005459,46,0,0,1
7798159713942,37,12,5964,1
7790480009411,29,0,348,1
7798152224148,27,12,0,1
41789002212,17,49,1536,1
7795697000213,26,0,24,1
7790387011845,26,3,0,1
7792070000075,65,50,480,1
7790940515063,37.5,15,168,1
3661163955988,0,0,0,0
7790520015037,85,15,360,1
7791372001148,23.99,0,0,1
7790520012517,20,230,12468,1
7790742737854,36.4,10,0,1
7793306000364,80,19,1940,1
7798108344487,17.57,171,21450,1
7791290011731,154,48,1722,1
7798154590494,45,11,0,1
7793412000142,0,0,0,1
