retailer,channel,set,Customer Brand,soa
ShopRite,FOOD,DOG MAIN MEAL DRY,,18.714
ShopRite,FOOD,DOG MAIN MEAL DRY 2018,,18.687
ShopRite,FOOD,DOG MAIN MEAL WET,,40.696
ShopRite,FOOD,DOG MAIN MEAL WET 2018,CESAR,24.693
ShopRite,FOOD,DOG MAIN MEAL WET 2018,,41.583
ShopRite,FOOD,DOG TREATS,,2.665
ShopRite,FOOD,DOG TREATS 2018,,2.755
Target,MASS,CAT MAIN MEAL DRY,,20.152
Target,MASS,CAT MAIN MEAL DRY 2018,,20.152
Target,MASS,CAT MAIN MEAL WET,,14.69
Target,MASS,CAT MAIN MEAL WET 2018,,14.69
Target,MASS,CAT TREATS,,66.1
Target,MASS,CAT TREATS 2018,,66.1
Target,MASS,DOG MAIN MEAL DRY,,31.642
Target,MASS,DOG MAIN MEAL DRY 2018,,31.642
Target,MASS,DOG MAIN MEAL WET,,57.464
Target,MASS,DOG MAIN MEAL WET 2018,CESAR,33.334
Target,MASS,DOG MAIN MEAL WET 2018,,57.464
Target,MASS,DOG TREATS,,7.614
Target,MASS,DOG TREATS 2018,,7.614
Walmart,FOOD,CAT MAIN MEAL DRY,,8.858
Walmart,FOOD,CAT MAIN MEAL DRY 2018,,8.883
Walmart,FOOD,CAT MAIN MEAL WET,,3.823
Walmart,FOOD,CAT MAIN MEAL WET 2018,,3.857
Walmart,FOOD,CAT TREATS,,74.849
Walmart,FOOD,CAT TREATS 2018,,72.991
Walmart,FOOD,DOG MAIN MEAL DRY,,25.049
Walmart,FOOD,DOG MAIN MEAL DRY 2018,,25.242
Walmart,FOOD,DOG MAIN MEAL WET,,53.899
Walmart,FOOD,DOG MAIN MEAL WET 2018,CESAR,24.505
Walmart,FOOD,DOG MAIN MEAL WET 2018,,54.147
Walmart,FOOD,DOG TREATS,,6.241
Walmart,FOOD,DOG TREATS 2018,,6.378
Walmart,MASS,CAT MAIN MEAL DRY,,7.526
Walmart,MASS,CAT MAIN MEAL DRY 2018,,7.546
Walmart,MASS,CAT MAIN MEAL WET,,4.76
Walmart,MASS,CAT MAIN MEAL WET 2018,,4.734
Walmart,MASS,CAT TREATS,,70.025
Walmart,MASS,CAT TREATS 2018,,69.642
Walmart,MASS,DOG MAIN MEAL DRY,,23.467
Walmart,MASS,DOG MAIN MEAL DRY 2018,,23.64
Walmart,MASS,DOG MAIN MEAL WET,,52.781
Walmart,MASS,DOG MAIN MEAL WET 2018,CESAR,24.281
Walmart,MASS,DOG MAIN MEAL WET 2018,,53.11
Walmart,MASS,DOG TREATS,,5.834
Walmart,MASS,DOG TREATS 2018,,5.935
Wegmans,FOOD,CAT MAIN MEAL DRY,,14.488
Wegmans,FOOD,CAT MAIN MEAL DRY 2018,,14.554
Wegmans,FOOD,CAT MAIN MEAL WET,,6.732
Wegmans,FOOD,CAT MAIN MEAL WET 2018,,7.925
Wegmans,FOOD,CAT TREATS,,75.347
Wegmans,FOOD,CAT TREATS 2018,,75.775
Wegmans,FOOD,DOG MAIN MEAL DRY,,14.4
Wegmans,FOOD,DOG MAIN MEAL DRY 2018,,14.259
Wegmans,FOOD,DOG MAIN MEAL WET,,41.228
Wegmans,FOOD,DOG MAIN MEAL WET 2018,CESAR,21.262
Wegmans,FOOD,DOG MAIN MEAL WET 2018,,41.17
Wegmans,FOOD,DOG TREATS,,5.518
Wegmans,FOOD,DOG TREATS 2018,,5.576
